Game,Platform,Release_Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,MetaScore,UserReview
2 in 1 combo pack: sonic heroes / super monkey ball deluxe,X360,2013.0,Misc,Ubisoft,0.09,0.01,0.0,0.01,0.12,,
2 in 1 combo pack: sonic heroes / super monkey ball deluxe,XB,2004.0,Misc,Sega,0.4,0.11,0.0,0.02,0.53,,
2-in-1 game pack: spider-man & spider-man 2,GBA,2005.0,Platform,Activision,0.06,0.02,0.0,0.0,0.09,,
2002 fifa world cup,GC,2002.0,Sports,Electronic Arts,0.16,0.04,0.0,0.0,0.2,77.5,7.075
2002 fifa world cup,PS2,2002.0,Sports,Electronic Arts,0.84,0.68,0.64,0.24,2.36,77.5,7.075
2002 fifa world cup,XB,2002.0,Sports,Electronic Arts,0.56,0.16,0.0,0.04,0.76,77.5,7.075
2010 fifa world cup south africa,PS3,2010.0,Sports,Electronic Arts,1.2,2.56,0.28,0.88,4.92,76.0,7.550000000000001
2010 fifa world cup south africa,PSP,2010.0,Sports,Electronic Arts,0.36,0.96,0.12,0.48,1.92,76.0,7.550000000000001
2010 fifa world cup south africa,Wii,2010.0,Sports,Electronic Arts,0.92,0.6,0.04,0.16,1.72,76.0,7.550000000000001
2010 fifa world cup south africa,X360,2010.0,Sports,Electronic Arts,1.28,1.72,0.08,0.36,3.44,76.0,7.550000000000001
2014 fifa world cup brazil,PS3,2014.0,Sports,Electronic Arts,0.3,0.78,0.02,0.32,1.42,73.5,4.65
2014 fifa world cup brazil,X360,2014.0,Sports,Electronic Arts,0.28,0.56,0.0,0.08,0.94,73.5,4.65
24: the game,PS2,2006.0,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62.0,8.0
25 to life,PS2,2006.0,Shooter,Eidos Interactive,1.0499999999999998,0.03,0.0,0.18,1.26,39.666666666666664,5.866666666666667
25 to life,XB,2006.0,Shooter,Eidos Interactive,0.36,0.12,0.0,0.03,0.51,39.666666666666664,5.866666666666667
